REFDES,Quantity,Value,Tolerance,Function,MFG,MFG P/N,Part Description,Package,Datasheet Link,Vendor,Vendor P/N,Comments
Connectors,CONNECTORS,,,,,,,,,,,
"P1, P2",2,---,---,Battery Connection - Screw Terminal,TE Connectivity / AMP,282834-2,Fixed Terminal Blocks 2P SIDE ENTRY 2.54mm,TH - 2.54mm pitch,http://www.te.com/catalog/pn/en/282834-2?RQPN=282834-2,Mouser,571-282834-2,This part is generic.
"P3, P4",2,DNI,---,Alternate Input Connection Block - Screw Terminal,TE Connectivity / AMP,282834-3,Fixed Terminal Blocks 3P SIDE ENTRY 2.54mm,TH - 2.54mm pitch,http://www.te.com/catalog/pn/en/282834-3?RQPN=282834-3,Mouser,571-2828343,This part is generic.
BP1,1,YELLOW,---,Input Connector - Binding Post,Johnson / Emerson Connectivity Solutions,111-0107-001,Test Plugs & Test Jacks BINDING POST YELLOW,Panel Mount - Solder or Screw,http://emersonconnectivity.com/OA_HTML/ibeCCtpItmDspRte.jsp?item=4252058,Mouser,530-111-0107-1,This part is generic.
BP2,1,WHITE,---,Input Connector - Binding Post,Johnson / Emerson Connectivity Solutions,111-0101-001,Test Plugs & Test Jacks BINDING POST WHITE,Panel Mount - Solder or Screw,http://emersonconnectivity.com/OA_HTML/ibeCCtpItmDspRte.jsp?item=4252065,Mouser,530-111-0101-1,This part is generic.
BP3,1,BLACK,---,Input Connector - Binding Post,Johnson / Emerson Connectivity Solutions,111-0103-001,Test Plugs & Test Jacks BINDING POST BLACK,Panel Mount - Solder or Screw,http://emersonconnectivity.com/OA_HTML/ibeCCtpItmDspRte.jsp?item=4252070,Mouser,530-111-0103-1,This part is generic.
"BP4, BP5, BP6",3,RED,---,Input Connector - Binding Post,Johnson / Emerson Connectivity Solutions,111-0102-001,Test Plugs & Test Jacks BINDING POST RED,Panel Mount - Solder or Screw,http://emersonconnectivity.com/OA_HTML/ibeCCtpItmDspRte.jsp?item=4252066,Mouser,530-111-0102-1,This part is generic.
"BNC1, BNC2, BNC3, BNC4",4,---,---,Output Connector - BNC,TE Connectivity / AMP,5227161-6,"RT/A BNC 50 Ohms, PCB-Mount","Through-Hole with Panel-Mount Face, Right-Angle Launch",http://www.te.com/catalog/pn/en/5227161-6?RQPN=5227161-6,Mouser,571-5227161-6,This part is generic.
Resistors/Jumpers,RESISTORS/JUMPERS,,,,,,,,,,,
"G1, G3, G4, G5",4,11k,1%,"Gain Resistor for U1, U3, U4, U5 (respectively)",Yageo,MFR-25FBF52-11K,RES 11K OHM 1/4W 1% AXIAL,TH,http://www.yageo.com/documents/recent/General%20Type_MFR.pdf,Digikey,11.0KXBK-ND,This part needs 1% tolerance.
